site_id,Company,Corp,Site,State,PADD,AD_Mbpd,Vdist_Mbpd,CaDis_Mbpd,HyCrk_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Latitude,Longitude,NearestMajorCity,NearestMajorCity_Latitude,NearestMajorCity_Longitude,FEMA_Hazard_Zone,DriveDuration_Seconds
525,LAZARUS ENERGY LLC,BLUE DOLPHIN ENERGY CO,NIXON,Texas,3,15,0,0,0,0,0,0,0,0,0,29.261622,-97.787248,San Antonio,29.42353596,-98.49249979,AREA OF MINIMAL FLOOD HAZARD,3881.5
526,PDV MIDWEST REFINING LLC,PDV AMERICA INC,LEMONT,Illinois,2,194.12,77.2,69.5,0,0,35.8,24.45,228.96,41.22,0,41.655625,-88.04655,Joliet,41.52443341,-88.08221964,AREA OF MINIMAL FLOOD HAZARD,1260.3
528,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,DETROIT,Michigan,2,152,90.5,44,0,0,21.5,8.5,137.5,40,32,42.2837,-83.158493,Dearborn,42.32076947,-83.17381251,AREA OF MINIMAL FLOOD HAZARD,461.6
530,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,GARYVILLE,Louisiana,3,628,299,150,130,0,138,105,625.5,110,33,30.060139,-90.595952,Metairie,29.98415698,-90.13196191,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3468.6
531,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,ROBINSON,Illinois,2,266,76,54.5,44,0,82,35,200.5,31,0,38.997284,-87.715851,Evansville,37.97577002,-87.55789992,AREA OF MINIMAL FLOOD HAZARD,7007.5
538,HUNT SOUTHLAND REFINING CO,HUNT CONSLD INC,SANDERSVILLE,Mississippi,3,12.5,6.875,0,0,0,0,0,0,0,6.125,31.814884,-89.009189,Jackson,32.296228,-90.17943857,AREA OF MINIMAL FLOOD HAZARD,7525.6
550,LUNDAY THAGARD CO,WORLD OIL CO,SOUTH GATE,California,5,10,5,0,0,0,0,0,0,0,3.75,33.946372,-118.166647,Downey,33.93787916,-118.1311429,AREA WITH REDUCED FLOOD RISK DUE TO LEVEE,277.1
2468,SILVER EAGLE REFINING,SILVER EAGLE REFINING INC,EVANSTON,Wyoming,4,3.4,0,0,0,0,2.9,0,3.9,0,0,41.261142,-110.806321,Salt Lake City,40.76120512,-111.8907506,AREA OF MINIMAL FLOOD HAZARD,6278
3008,GOODWAY REFINING LLC,GOODWAY REFINING LLC,ATMORE,Alabama,3,5,0,0,0,0,0,0,0,0,0,31.072,-87.363,Mobile,30.68527017,-88.05143433,AREA OF MINIMAL FLOOD HAZARD,5545.6
3109,EXCEL PARALUBES,EXCEL PARALUBES,WESTLAKE,Louisiana,3,0,0,0,43,0,0,0,0,0,0,30.188295,-93.339019,Beaumont,30.08111911,-94.10222049,AREA OF MINIMAL FLOOD HAZARD,3681.4
3215,EQUISTAR CHEMICALS LP,ACCESS INDUSTRIES,CHANNELVIEW,Texas,3,0,0,0,0,0,0,22.37,0,0,0,29.82338,-95.113566,Pasadena,29.69115964,-95.19430639,AREA OF MINIMAL FLOOD HAZARD,1485.7
4998,KINDER MORGAN CRUDE & CONDENSATE,KINDER MORGAN ENERGY PTNRS LP,GALENA PARK,Texas,3,121,0,0,0,0,0,0,0,0,0,29.733018,-95.219682,Pasadena,29.69115964,-95.19430639,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,478.3
5037,PETROMAX REFINING CO LLC,PETROMAX REFINING CO LLC,HOUSTON,Texas,3,27.5,0,0,0,0,0,0,0,0,0,29.75377,-95.123221,Pasadena,29.69115964,-95.19430639,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1253.5
5048,BUCKEYE TEXAS PROCESSING LLC,BUCKEYE PARTNERS LP,CORPUS CHRISTI,Texas,3,65,0,0,0,0,0,0,0,0,0,27.817895,-97.505532,Corpus Christi,27.79264371,-97.40277135,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,715.3
5082,MAGELLAN PROCESSING LP,ONEOK INC,CORPUS CHRISTI,Texas,3,50,0,0,0,0,0,0,0,0,0,27.806936,-97.439103,Corpus Christi,27.79264371,-97.40277135,AREA OF MINIMAL FLOOD HAZARD,480
5199,HARTREE REFINING LLC,HARTREE PARTNERS LP,CHANNELVIEW,Texas,3,50,0,0,0,0,0,0,0,0,0,29.7646,-95.103,Pasadena,29.69115964,-95.19430639,No Data,1425.5
5338,TALLEY ASPHALT PRODUCTS INC,TALLEY ASPHALT PRODUCTS INC,KERN,California,5,2,0,0,0,0,0,0,0,0,1.7,35.14491,-119.42754,Bakersfield,35.36628717,-119.019728,AREA OF MINIMAL FLOOD HAZARD,3559.9
5341,TEXAS INTERNATIONAL TERMINALS,TEXAS INTL TERMINALS,GALVESTON,Texas,3,50,0,0,0,0,0,0,0,0,0,29.30173,-94.82515,League City,29.50152438,-95.09323099,AREA OF MINIMAL FLOOD HAZARD,2140
5378,ENTERPRISE PROD TEXAS OPERATING LLC,ENTERPRISE PRODUCTS PTNRS LP,MONT BELVIEU,Texas,3,0,0,0,0,0,0,0,65,0,0,29.85778,-94.9072,Pasadena,29.69115964,-95.19430639,AREA OF MINIMAL FLOOD HAZARD,2298.3
5380,TARGA DOWNSTREAM LLC,TARGA RESOURCES INC,MONT BELVIEU,Texas,3,0,0,0,0,0,0,0,35,0,0,29.84185,-94.8948,Pasadena,29.69115964,-95.19430639,AREA OF MINIMAL FLOOD HAZARD,2113
